algo,rollout_mean,rollout_std,rollout_ci95
policy_iteration,-30.264817632469505,0.13641911112020372,0.1543727566346038
value_iteration,-30.264817632469505,0.13641911112020372,0.1543727566346038
td0,-30.264817632469505,0.13641911112020372,0.1543727566346038
td_lambda,-30.264817632469505,0.13641911112020372,0.1543727566346038
learned_model,-30.264817632469505,0.13641911112020372,0.1543727566346038
belief_update,-30.78511875350324,0.5112437109769917,0.5785267205419761
sarsa_lambda,-30.810852663699276,0.19832892310769654,0.2244303040028617
expected_sarsa,-30.995906602546665,0.27016900908376285,0.3057250142375617
dqn,-31.082435669247,0.03448781208170079,0.03902663327469711
a3c,-31.13545241756313,0.8835614714003732,0.9998439285828312
a2c,-31.247584728810768,1.0419739213394097,1.179104490988801
double_dqn,-31.29149688536276,0.8097589942853487,0.9163285637255588
q_lambda,-31.308551088716456,0.3549003165911595,0.40160751490600316
mc_control,-31.40302007019658,0.6965362321498261,0.7882049470187784
approx_q_learning,-31.65987793193396,1.9130489363011294,2.164818663958913
q_learning,-31.741385684647813,0.5516029173833357,0.6241974619606214
reinforce,-31.76210902915365,1.1896411350454166,1.3462056739327455
dueling_dqn,-31.80276232669752,0.26438638360977146,0.2991813575044595
sarsa,-32.018976508876264,0.6976599389734149,0.7894765409954733
trpo,-32.37251531559492,0.31648620828120455,0.3581378591900765
ppo,-32.4040099938266,1.176435140346689,1.3312616841280605
dyna_q,-33.04784384434118,1.1278134450489912,1.27624105634564
sac,-33.07888438773093,0.8339679792096286,0.9437236090927265
rnn_rl,-33.51389760559992,0.8559203965981751,0.9685651079064614
td3,-33.79850849369305,0.9885293711547454,1.1186262891345657
linear_fa,-34.45018519982472,0.1010921960560317,0.11439658894760385
semi_gradient_td,-34.45018519982472,0.1010921960560317,0.11439658894760385
gradient_td,-34.45018519982472,0.1010921960560317,0.11439658894760385
ddpg,-34.45018519982472,0.1010921960560317,0.11439658894760385
