algo,seed,rollout_mean
linear_fa,7,-34.59133788187173
linear_fa,11,-34.35995209359557
linear_fa,19,-34.399265624006894
linear_fa,23,-34.484092338686054
linear_fa,29,-34.26521332720636
semi_gradient_td,7,-34.59133788187173
semi_gradient_td,11,-34.35995209359557
semi_gradient_td,19,-34.399265624006894
semi_gradient_td,23,-34.484092338686054
semi_gradient_td,29,-34.26521332720636
gradient_td,7,-34.59133788187173
gradient_td,11,-34.35995209359557
gradient_td,19,-34.399265624006894
gradient_td,23,-34.484092338686054
gradient_td,29,-34.26521332720636
approx_q_learning,7,-30.457604142112256
approx_q_learning,11,-32.093720958710826
approx_q_learning,19,-32.64138273939307
approx_q_learning,23,-32.62343163116007
approx_q_learning,29,-29.910946169838006
