feature,risk_lift_lt30,protective_lift_no,total_saliency
number_inpatient,0.014639748944522244,0.033046872956869956,0.0476866219013922
diag_3,0.014308283584939394,0.032164211400139274,0.04647249498507867
diag_2,0.013088477750743184,0.03320688796846844,0.046295365719211626
number_diagnoses,0.006867174173114164,0.023686763093140967,0.030553937266255132
discharge_disposition_id,0.01018234470607053,0.016249681516393846,0.026432026222464378
num_medications,0.005926301460967238,0.01746012475631208,0.023386426217279318
time_in_hospital,0.007196948501118989,0.015472655901933852,0.02266960440305284
medical_specialty,0.004671065059642354,0.01689174798993192,0.021562813049574275
insulin,0.005005788241696003,0.014053299552799662,0.019059087794495666
diabetesMed,0.0035562993317615334,0.012924493429019617,0.01648079276078115
change,0.0029769366526963075,0.011528998881725165,0.014505935534421473
payer_code,0.0038184855285136976,0.010504292070646917,0.014322777599160615
age,0.003394699352578359,0.009068306844841056,0.012463006197419416
admission_type_id,0.002132589365302233,0.010023806600624598,0.012156395965926832
num_lab_procedures,0.0031312311996877784,0.00879245736861054,0.011923688568298318
diag_1,0.002961691401791308,0.00876910451414396,0.011730795915935267
num_procedures,0.002014393728418417,0.009304869498846569,0.011319263227264986
metformin,0.0029711320959212597,0.004914934144558911,0.007886066240480171
race,0.0009157389413621734,0.00650152864301007,0.007417267584372243
A1Cresult,0.0020872063602563663,0.003511316014193529,0.0055985223744498954
gender,0.0004217603736362126,0.005098762020749717,0.005520522394385929
weight,0.0001738410823284747,0.004007774601772127,0.004181615684100602
glipizide,0.0005358209129853687,0.0035749050734849787,0.004110725986470347
max_glu_serum,0.0006439938021107982,0.0016492439625922309,0.0022932377647030293
rosiglitazone,0.00031124608690180606,0.001877223023401088,0.002188469110302894
pioglitazone,0.0005589995907999246,0.0014578797502994908,0.0020168793410994153
repaglinide,0.00023343666248694912,0.0014070241627855214,0.0016404608252724704
glyburide,0.00042318015304285784,0.0007173808973102329,0.0011405610503530908
admission_source_id,0.00043877695315378847,0.0006904556237823826,0.0011292325769361711
glimepiride,0.00032757594700461647,0.0005674861084771695,0.0008950620554817859
acarbose,3.0247213779994206e-05,0.0005369003288426052,0.0005671475426225994
nateglinide,0.00015346600943115125,0.0002046457812412312,0.0003581117906723824
glyburide-metformin,4.2932147797767794e-05,0.0001525863374408778,0.0001955184852386456
chlorpropamide,4.674405975562921e-05,8.700063845489027e-05,0.0001337446982105195
miglitol,2.6551552752741657e-05,9.563316889898547e-05,0.00012218472165172713
tolazamide,1.3983269153288913e-05,6.214051676793676e-05,7.612378592122567e-05
tolbutamide,1.2468411665956035e-05,5.378203490940501e-05,6.625044657536105e-05
glipizide-metformin,4.6444443955241865e-06,3.5195668341117195e-05,3.9840112736641384e-05
acetohexamide,1.56479345408717e-06,7.643998046265937e-06,9.208791500353107e-06
troglitazone,1.56479345408717e-06,7.643998046265937e-06,9.208791500353107e-06
glimepiride-pioglitazone,1.56479345408717e-06,7.643998046265937e-06,9.208791500353107e-06
metformin-pioglitazone,1.56479345408717e-06,6.4890790072676125e-06,8.053872461354783e-06
number_outpatient,0.0,0.0,0.0
number_emergency,0.0,0.0,0.0
examide,0.0,0.0,0.0
citoglipton,0.0,0.0,0.0
metformin-rosiglitazone,0.0,0.0,0.0
