algo,seed,rollout_mean,rollout_std
mc,7,-30.457604142112256,6.215243599410251
mc,11,-30.174771195202222,6.326847514696294
mc,19,-30.80265631370483,6.0823205604062975
mc,23,-31.555887548835205,6.029750467212365
mc,29,-30.75771348198472,5.911867051514611
td_n,7,-30.457604142112256,6.215243599410251
td_n,11,-33.64501782783888,5.90150113780668
td_n,19,-33.81916368941652,5.891951572130336
td_n,23,-30.747372381876378,6.076107380351845
td_n,29,-29.910946169838006,5.995082676109773
td_lambda,7,-30.457604142112256,6.215243599410251
td_lambda,11,-30.174771195202222,6.326847514696294
td_lambda,19,-30.162077560094048,6.030057524032603
td_lambda,23,-30.109477092010973,6.211351329915575
td_lambda,29,-29.910946169838006,5.995082676109773
sarsa_n,7,-31.998265247226744,6.117146515223223
sarsa_n,11,-32.093720958710826,6.180259275387982
sarsa_n,19,-32.00016563383828,6.005777086222607
sarsa_n,23,-32.31138473238503,5.77200014308969
sarsa_n,29,-31.505369452052904,5.819718499001791
sarsa_lambda,7,-31.040303410322792,6.333495796240604
sarsa_lambda,11,-32.783110928856225,6.02445692642895
sarsa_lambda,19,-32.291413965502734,5.9985629895534895
sarsa_lambda,23,-31.305078243357293,6.152114671891965
sarsa_lambda,29,-32.48909675235854,5.783469301784502
q_learning,7,-31.645898122309752,6.124397861383061
q_learning,11,-33.67619244707272,5.9397901717306665
q_learning,19,-31.174667046889397,6.031840314996712
q_learning,23,-31.489282412208805,6.161518115950268
q_learning,29,-30.65050111233819,5.906357181916652
double_q_learning,7,-32.95831552326282,6.298856097904498
double_q_learning,11,-31.901017098985648,6.085285345631419
double_q_learning,19,-30.565304172463094,5.948666026374248
double_q_learning,23,-31.799056168770548,6.295768256000522
double_q_learning,29,-30.21545976386152,6.051316880622544
